GroupID,FileID,Class
Myrion,0222.txt,1
Myrion,0547.txt,1
Myrion,0604.txt,1
Myrion,0727.txt,1
Myrion,0818.txt,1
Myrion,1006.txt,1
Myrion,1530.txt,1
Myrion,1659.txt,1
Myrion,1925.txt,1
Myrion,2098.txt,1
Myrion,2264.txt,1
Myrion,2425.txt,1
Myrion,2561.txt,1
Myrion,2756.txt,1
Myrion,3216.txt,1
Myrion,3270.txt,1
Myrion,3781.txt,1
Myrion,3954.txt,1
Myrion,4012.txt,1
Myrion,4054.txt,1
Myrion,4103.txt,1
Myrion,4332.txt,1
Myrion,4336.txt,1
Myrion,4405.txt,1
Myrion,4447.txt,1
Myrion,4575.txt,1
Myrion,4582.txt,1
Myrion,4852.txt,1
Myrion,5070.txt,1
Myrion,5078.txt,1
Myrion,5139.txt,1
Myrion,5198.txt,1
Myrion,5721.txt,1
Myrion,5939.txt,1
Myrion,6065.txt,1
Myrion,6074.txt,1
Myrion,6170.txt,1
Myrion,6238.txt,1
Myrion,6340.txt,1
Myrion,6591.txt,1
Myrion,6673.txt,1
Myrion,7519.txt,1
Myrion,7521.txt,1
Myrion,7566.txt,1
Myrion,7664.txt,1
Myrion,7802.txt,1
Myrion,7821.txt,1
Myrion,7894.txt,1
Myrion,8029.txt,1
Myrion,8251.txt,1
Myrion,8286.txt,1
Myrion,8302.txt,1
Myrion,8343.txt,1
Myrion,8427.txt,1
Myrion,8860.txt,1
Myrion,9656.txt,1
Myrion,9801.txt,1
Myrion,9835.txt,1
Myrion,9851.txt,1
Myrion,9901.txt,1
Myrion,0671.txt,0
Myrion,0849.txt,0
Myrion,1453.txt,0
Myrion,2769.txt,0
Myrion,2984.txt,0
Myrion,3228.txt,0
Myrion,3323.txt,0
Myrion,3761.txt,0
Myrion,3875.txt,0
Myrion,4163.txt,0
Myrion,5216.txt,0
Myrion,5610.txt,0
Myrion,6393.txt,0
Myrion,6606.txt,0
Myrion,7280.txt,0
Myrion,8024.txt,0
Myrion,8227.txt,0
Myrion,8370.txt,0
Myrion,8583.txt,0
Myrion,8626.txt,0
Myrion,0812.txt,0
Myrion,1347.txt,0
Myrion,2191.txt,0
Myrion,2499.txt,0
Myrion,4323.txt,0
Myrion,4970.txt,0
Myrion,5344.txt,0
Myrion,5471.txt,0
Myrion,7287.txt,0
Myrion,8117.txt,0
Myrion,0386.txt,0
Myrion,0774.txt,0
Myrion,1805.txt,0
Myrion,1886.txt,0
Myrion,3177.txt,0
Myrion,4466.txt,0
Myrion,4641.txt,0
Myrion,4990.txt,0
Myrion,6881.txt,0
Myrion,7548.txt,0
